date UTC since epoch [s],date from Keithley,Voltage AFE U[V],Voltage AFE U[bit],Voltage Keithley [V],master measured voltage U[bit],slave measured voltage U[bit],master measured current U[bit],slave measured current U[bit]
1651289008.6425204,30-Apr-202205:23:26.00,55.5,2086,-55.5659,3109,3118,3005,0
1651289034.7161956,30-Apr-202205:23:52.00,55.5,2086,-55.567,3109,3118,2635,0
1651289060.6735802,30-Apr-202205:24:18.00,55.5,2086,-55.5665,3108,3117,3197,0
1651289086.642243,30-Apr-202205:24:44.00,55.5,2086,-55.5667,3109,3118,1798,0
1651289112.7225583,30-Apr-202205:25:10.00,55.5,2086,-55.5667,3109,3118,2770,0
1651289138.6511471,30-Apr-202205:25:36.00,55.5,2086,-55.5661,3108,3118,2822,0
1651289164.6160462,30-Apr-202205:26:02.00,55.5,2086,-55.5668,3109,3118,1977,0
1651289190.7239249,30-Apr-202205:26:28.00,55.5,2086,-55.5668,3109,3117,1625,0
1651289216.6647193,30-Apr-202205:26:54.00,55.5,2086,-55.5662,3109,3118,1396,0
1651289242.615962,30-Apr-202205:27:20.00,55.5,2086,-55.5652,3109,3118,1337,0
1651289268.6957703,30-Apr-202205:27:46.00,55.5,2086,-55.5655,3109,3118,2839,0
1651289294.6488686,30-Apr-202205:28:12.00,55.5,2086,-55.5663,3108,3118,2258,0
1651289320.6242352,30-Apr-202205:28:38.00,55.5,2086,-55.566,3108,3118,1717,0
1651289346.699561,30-Apr-202205:29:04.00,55.5,2086,-55.5664,3108,3118,1392,0
1651289372.6357787,30-Apr-202205:29:30.00,55.5,2086,-55.5657,3109,3118,1082,0
1651289398.5937483,30-Apr-202205:29:56.00,55.5,2086,-55.5665,3109,3118,1089,0
1651289424.7091677,30-Apr-202205:30:22.00,55.5,2086,-55.5663,3108,3117,3262,0
1651289450.6417418,30-Apr-202205:30:48.00,55.5,2086,-55.5656,3109,3117,2606,0
1651289476.5970414,30-Apr-202205:31:14.00,55.5,2086,-55.5642,3109,3118,2756,0
1651289502.684435,30-Apr-202205:31:40.00,55.5,2086,-55.5653,3109,3118,1523,0
1651289528.6182454,30-Apr-202205:32:06.00,55.5,2086,-55.5642,3108,3117,3258,0
1651289554.5935876,30-Apr-202205:32:32.00,55.5,2086,-55.5641,3108,3118,1220,0
1651289580.6848671,30-Apr-202205:32:58.00,55.5,2086,-55.564,3109,3118,3252,0
1651289606.613394,30-Apr-202205:33:24.00,55.5,2086,-55.5645,3108,3118,1984,0
1651289632.575731,30-Apr-202205:33:50.00,55.5,2086,-55.5647,3109,3118,1165,0
1651289658.6894484,30-Apr-202205:34:16.00,55.5,2086,-55.5649,3109,3117,2457,0
1651289684.62964,30-Apr-202205:34:42.00,55.5,2086,-55.5651,3108,3118,1070,0
1651289710.5740855,30-Apr-202205:35:08.00,55.5,2086,-55.5646,3109,3118,3239,0
1651289736.6605225,30-Apr-202205:35:34.00,55.5,2086,-55.5646,3108,3117,1820,0
1651289762.6009924,30-Apr-202205:36:00.00,55.5,2086,-55.5665,3109,3118,1069,0
1651289788.5697076,30-Apr-202205:36:25.00,55.5,2086,-55.5665,3109,3118,1089,0
1651289814.5168676,30-Apr-202205:36:51.00,55.5,2086,-55.5662,3108,3118,3246,0
1651289840.5991037,30-Apr-202205:37:17.00,55.5,2086,-55.5671,3109,3118,1452,0
1651289866.5529623,30-Apr-202205:37:43.00,55.5,2086,-55.5667,3109,3118,1220,0
1651289892.5190616,30-Apr-202205:38:09.00,55.5,2086,-55.567,3109,3118,2160,0
1651289918.6077318,30-Apr-202205:38:35.00,55.5,2086,-55.5656,3108,3118,1099,0
1651289944.5380635,30-Apr-202205:39:01.00,55.5,2086,-55.5651,3108,3118,1518,0
1651289970.502162,30-Apr-202205:39:27.00,55.5,2086,-55.5667,3108,3118,1673,0
1651289996.6166399,30-Apr-202205:39:53.00,55.5,2086,-55.5663,3109,3118,2699,0
1651290022.5364902,30-Apr-202205:40:19.00,55.5,2086,-55.5658,3108,3117,2413,0
1651290048.4954438,30-Apr-202205:40:45.00,55.5,2086,-55.565,3109,3118,1393,0
1651290074.580061,30-Apr-202205:41:11.00,55.5,2086,-55.5663,3109,3118,1135,0
1651290100.5198128,30-Apr-202205:41:37.00,55.5,2086,-55.5669,3109,3118,2034,0
1651290126.5028126,30-Apr-202205:42:03.00,55.5,2086,-55.5668,3109,3118,2465,0
1651290152.5847406,30-Apr-202205:42:29.00,55.5,2086,-55.5662,3109,3118,3158,0
1651290178.5158768,30-Apr-202205:42:55.00,55.5,2086,-55.5648,3109,3118,3126,0
1651290204.4665313,30-Apr-202205:43:21.00,55.5,2086,-55.5652,3108,3118,3114,0
1651290230.589488,30-Apr-202205:43:47.00,55.5,2086,-55.5633,3109,3119,1284,0
1651290256.5202575,30-Apr-202205:44:13.00,55.5,2086,-55.5639,3108,3119,1110,0
1651290282.477342,30-Apr-202205:44:39.00,55.5,2086,-55.5643,3108,3118,1179,0
1651290308.5587184,30-Apr-202205:45:05.00,55.5,2086,-55.5641,3108,3118,1392,0
1651290334.4915977,30-Apr-202205:45:31.00,55.5,2086,-55.5643,3109,3118,3270,0
1651290360.4755373,30-Apr-202205:45:57.00,55.5,2086,-55.5659,3109,3118,1267,0
1651290386.4258661,30-Apr-202205:46:23.00,55.5,2086,-55.5667,3108,3118,2463,0
1651290412.4979324,30-Apr-202205:46:49.00,55.5,2086,-55.5664,3108,3118,2937,0
1651290438.451015,30-Apr-202205:47:15.00,55.5,2086,-55.565,3109,3118,3120,0
1651290464.4205573,30-Apr-202205:47:41.00,55.5,2086,-55.5652,3108,3117,1952,0
1651290490.503563,30-Apr-202205:48:07.00,55.5,2086,-55.5662,3108,3118,3060,0
1651290516.4328399,30-Apr-202205:48:33.00,55.5,2086,-55.5658,3109,3118,2098,0
1651290542.5442822,30-Apr-202205:48:59.00,55.5,2086,-55.566,3108,3119,2744,0
1651290568.4833415,30-Apr-202205:49:25.00,55.5,2086,-55.5661,3108,3118,2977,0
1651290594.4385242,30-Apr-202205:49:51.00,55.5,2086,-55.5659,3109,3118,2957,0
1651290620.3930454,30-Apr-202205:50:17.00,55.5,2086,-55.5659,3108,3118,1881,0
1651290646.4855654,30-Apr-202205:50:43.00,55.5,2086,-55.5663,3109,3118,2319,0
1651290672.4099636,30-Apr-202205:51:09.00,55.5,2086,-55.5661,3109,3118,3256,0
1651290698.392938,30-Apr-202205:51:35.00,55.5,2086,-55.5651,3109,3118,2256,0
1651290724.4841204,30-Apr-202205:52:01.00,55.5,2086,-55.5655,3108,3118,2427,0
1651290750.4203856,30-Apr-202205:52:27.00,55.5,2086,-55.566,3108,3118,1766,0
1651290776.371685,30-Apr-202205:52:53.00,55.5,2086,-55.5657,3109,3118,2059,0
1651290802.493906,30-Apr-202205:53:19.00,55.5,2086,-55.5659,3108,3118,1482,0
1651290828.4264033,30-Apr-202205:53:45.00,55.5,2086,-55.5653,3109,3118,1153,0
1651290854.3767197,30-Apr-202205:54:11.00,55.5,2086,-55.567,3109,3118,1817,0
1651290880.4630938,30-Apr-202205:54:37.00,55.5,2086,-55.5667,3108,3118,1330,0
1651290906.4113932,30-Apr-202205:55:03.00,55.5,2086,-55.5663,3109,3119,1582,0
1651290932.3859181,30-Apr-202205:55:29.00,55.5,2086,-55.5654,3109,3118,1067,0
1651290958.4755297,30-Apr-202205:55:55.00,55.5,2086,-55.5657,3109,3118,3263,0
1651290984.3981862,30-Apr-202205:56:21.00,55.5,2086,-55.5659,3108,3118,1109,0
1651291010.3554027,30-Apr-202205:56:47.00,55.5,2086,-55.5657,3109,3117,2726,0
1651291036.475007,30-Apr-202205:57:13.00,55.5,2086,-55.5653,3109,3118,1709,0
1651291062.4007854,30-Apr-202205:57:39.00,55.5,2086,-55.5654,3108,3118,1098,0
1651291088.3595636,30-Apr-202205:58:05.00,55.5,2086,-55.5656,3109,3118,2633,0
1651291114.4461117,30-Apr-202205:58:31.00,55.5,2086,-55.5665,3108,3118,3140,0
1651291140.3814533,30-Apr-202205:58:57.00,55.5,2086,-55.5665,3109,3118,1601,0
1651291166.3635583,30-Apr-202205:59:23.00,55.5,2086,-55.5669,3108,3117,1978,0
1651291192.2956083,30-Apr-202205:59:41.00,55.5,2086,-55.5666,3109,3118,1075,0
1651291218.3777535,30-Apr-202206:00:15.00,55.5,2086,-55.5664,3108,3118,1084,0
1651291244.3384724,30-Apr-202206:00:41.00,55.5,2086,-55.5668,3109,3118,1100,0
1651291270.3021064,30-Apr-202206:01:07.00,55.5,2086,-55.5659,3109,3118,2798,0
1651291296.3907564,30-Apr-202206:01:33.00,55.5,2086,-55.5661,3109,3118,1413,0
1651291322.3200295,30-Apr-202206:01:59.00,55.5,2086,-55.5657,3109,3118,3078,0
1651291348.2841551,30-Apr-202206:02:25.00,55.5,2086,-55.5662,3109,3118,1875,0
1651291374.386137,30-Apr-202206:02:51.00,55.5,2086,-55.5655,3108,3118,1179,0
1651291400.3229153,30-Apr-202206:03:17.00,55.5,2086,-55.566,3109,3117,1779,0
1651291426.2816372,30-Apr-202206:03:43.00,55.5,2086,-55.5654,3109,3119,2550,0
1651291452.3655663,30-Apr-202206:04:09.00,55.5,2086,-55.5656,3109,3119,2434,0
1651291478.3128622,30-Apr-202206:04:35.00,55.5,2086,-55.5648,3108,3118,2843,0
1651291504.275552,30-Apr-202206:05:01.00,55.5,2086,-55.5658,3109,3118,2308,0
